,Citations,Likes,en.search.wordpress.com,en.wikipedia.org,europepmc.org,f1000.com,scholar.google.com,twitter.com,www.citeulike.org,Pubmed_Citations,Scopus
1202.0,34.0,42.0,,2.0,51.0,6.0,0.0,,7.0,47.0,55.0
1206.0,1.0,,,,,,0.0,,,1.0,5.0
1211.0,1.0,,,,3.0,,0.0,,,3.0,1.0
1213.0,3.0,,,2.0,7.0,,0.0,3.0,,6.0,3.0
1222.0,2.0,,,,6.0,,0.0,,,6.0,2.0
1228.0,2.0,,,,2.0,,0.0,,,2.0,3.0
1229.0,9.0,,,,10.0,3.0,0.0,,3.0,10.0,2.0
1236.0,3.0,,,,8.0,,0.0,,2.0,11.0,2.0
1239.0,1.0,,,,1.0,,0.0,,,1.0,
1256.0,6.0,1.0,,,8.0,1.0,0.0,,5.0,9.0,16.0
1257.0,1.0,,,,10.0,,0.0,,1.0,10.0,14.0
1273.0,1.0,1.0,,1.0,3.0,,0.0,,,5.0,1.0
1279.0,1.0,,,2.0,4.0,,0.0,,,3.0,
1287.0,6.0,8.0,,3.0,11.0,,0.0,,,10.0,11.0
1289.0,1.0,,,,2.0,1.0,0.0,,,2.0,1.0
1293.0,4.0,,,,3.0,,0.0,,,3.0,7.0
1295.0,3.0,,,,5.0,,0.0,,,5.0,8.0
1296.0,4.0,,,,5.0,2.0,0.0,,,4.0,1.0
1298.0,2.0,,,,8.0,3.0,0.0,,,8.0,7.0
1299.0,6.0,3.0,,,10.0,,0.0,,,9.0,11.0
1305.0,5.0,,,,6.0,,0.0,,,6.0,6.0
1308.0,3.0,2.0,,,6.0,,0.0,,1.0,6.0,14.0
1310.0,1.0,,,4.0,1.0,,0.0,,,2.0,5.0
1311.0,6.0,2.0,,1.0,11.0,,0.0,,,11.0,
1312.0,2.0,,,,8.0,,0.0,,,8.0,9.0
1319.0,6.0,,,1.0,5.0,3.0,0.0,,2.0,5.0,9.0
1322.0,1.0,198.0,1.0,,4.0,,0.0,1.0,1.0,4.0,5.0
1323.0,4.0,,,,11.0,,0.0,,,16.0,13.0
1326.0,2.0,,,,3.0,,0.0,,,3.0,4.0
1339.0,4.0,2.0,,,6.0,2.0,0.0,,2.0,7.0,9.0
1340.0,9.0,,,,12.0,,0.0,,,9.0,12.0
1341.0,3.0,,,,2.0,,0.0,,,2.0,
1345.0,11.0,2.0,,1.0,8.0,5.0,0.0,,1.0,13.0,4.0
1350.0,2.0,,,,6.0,,0.0,1.0,1.0,5.0,6.0
1355.0,8.0,,,,8.0,,0.0,,,5.0,
1369.0,2.0,,,,7.0,,0.0,,,7.0,
1370.0,2.0,,,,1.0,,0.0,1.0,2.0,1.0,3.0
1374.0,1.0,,,4.0,6.0,,0.0,,1.0,7.0,9.0
1381.0,1.0,1.0,1.0,,8.0,,0.0,,2.0,11.0,3.0
1385.0,3.0,28.0,,,5.0,,0.0,,,5.0,
1386.0,1.0,,,,1.0,,0.0,,,1.0,
1402.0,2.0,,,,4.0,,0.0,,1.0,3.0,5.0
1412.0,,,,,4.0,2.0,0.0,,,3.0,
1426.0,6.0,,,,16.0,,0.0,,,16.0,28.0
1434.0,4.0,,,,4.0,4.0,0.0,,,3.0,
1439.0,3.0,,,,10.0,,0.0,,,10.0,
1440.0,,,,,,,0.0,,,1.0,2.0
1457.0,2.0,,,,4.0,,0.0,,,4.0,
